GCA_001314445.1,Phyag_NZFS3770
GCA_001314435.1,Phyag_NZFS3772
GCA_018873745.1,Phyal_NZFS4037
GCA_003287315.1,Phyca_10300
GCA_016865075.1,Phyca_11-40
GCA_016864635.1,Phyca_12-420
GCA_016864665.1,Phyca_15-13
GCA_016864695.1,Phyca_15-7
GCA_016865085.1,Phyca_17-21
GCA_016864755.1,Phyca_2003-3
GCA_016864735.1,Phyca_4032
GCA_016864715.1,Phyca_4040
GCA_016864795.1,Phyca_62471
GCA_018873755.1,Phyca_NZFS3830
GCA_016864775.1,Phyca_P295
GCA_017309695.1,Phyca_P404
GCA_016864815.1,Phyca_P415
GCA_016864835.1,Phyca_P416
GCA_016865055.1,Phyca_P421
GCA_016864855.1,Phyca_PC13-15
GCA_016906365.1,Phyca_R36-14
GCA_000443045.1,Phyca_CBS114087
GCA_004138045.1,Phyca_CPV-219
GCA_004137965.1,Phyca_CPV-262
GCA_004137975.1,Phyca_CPV-267
GCA_004137955.1,Phyca_CPV-270
GCA_004137865.1,Phyca_CPV-277
GCA_004137885.1,Phyca_CPV-302
GCA_018292885.1,Phyca_JHAI1-7
GCA_018292905.1,Phyca_KPC-7
GCA_016618375.1,Phyca_LT1534-B
GCA_018292895.1,Phyca_MY-1
GCA_012295415.1,Phych_P17-99
GCA_002734105.1,Phyci_DU054
GCA_018691715.1,Phyci_GKB4
GCA_001314365.1,Phyci_MP94-48
GCA_001314505.1,Phyci_NZFS3750
GCA_002734125.1,Phyci_WA94.26
GCA_002288995.1,Phyco_7290
GCA_000468175.2,Phycr_CBS418.71
GCA_009733105.1,Phyfr_A4
GCA_009733085.1,Phyfr_BC-1
GCA_009733045.1,Phyfr_BC-23
GCA_002025845.1,Phyfr_CBS209.46
GCA_000686205.4,Phyfr_CBS309.62
GCA_009732985.1,Phyfr_NOV-27
GCA_009733025.1,Phyfr_NOV-5
GCA_009733065.1,Phyfr_NOV-71
GCA_009733125.1,Phyfr_NOV-77
GCA_009733005.1,Phyfr_ONT-3
GCA_009732925.1,Phyfr_SCRP245
GCA_012295475.1,Phygo_P17-128
GCA_016865095.1,Phyid_SCRP370
GCA_016880985.1,Phyid_SCRP371
GCA_016880175.1,Phyid_SCRP376
GCA_012552325.1,Phyin_KR_2_A2
GCF_000142945.1,Phyin_T30-4
GCA_000448265.2,Phyke_CBS122049
GCA_001712655.1,Phyke_Chile1
GCA_001707905.2,Phyke_Chile2
GCA_001712715.2,Phyke_Chile4
GCA_001712705.2,Phyke_Chile6
GCA_001712645.2,Phyke_Chile7
GCA_000785735.3,Phyke_NZFS2646
GCA_000785725.3,Phyke_NZFS3630
GCA_000333075.3,Phyke_00238_432
GCA_000333095.2,Phyke_00629_1
GCA_000333115.2,Phyke_00844_4
GCA_000500205.2,Phyla_CBS168.42
GCA_000333055.2,Phyla_SMSTG
GCA_000318465.2,Phyla_MPF4
GCA_000338795.2,Phyla_MPF6
GCA_000338815.2,Phyla_SMST21
GCA_002812785.1,Phyli_SHS3
GCA_002215365.1,Phyme_zdho120
GCA_001314345.1,Phymu_NZFS3378
GCA_001314355.1,Phymu_NZFS3448
GCA_003328465.1,Phyni_JM01
GCA_001483015.1,Phyni_race0
GCA_001482985.1,Phyni_race1
GCA_012932265.1,Phypa_B4PPRK_Kuching_Sarawak
GCA_002911725.1,Phypa_var.palmivora_sbr112.9
GCA_000509505.1,Phypa_CHvinca01
GCA_000509465.1,Phypa_CJ02B3
GCA_000509485.1,Phypa_CJ05E6
GCA_000509525.1,Phypa_IAC_01_95
GCF_000247585.1,Phypa_INRA-310
GCA_000500225.2,Phypi_CBS122922
GCA_000751395.2,Phypi
GCA_002247145.1,Phypl_AV1007
GCA_001314425.1,Phypl_LC9-1
GCA_001314455.1,Phypl_NZFS3000
GCA_012295425.1,Phyps_PR13-731
GCA_001955675.1,Phyra_CC1011
GCA_002968915.1,Phyra_CDFA1418886
GCA_000340395.2,Phyra_EU12275
GCA_001933345.1,Phyra_EU1CC1008
GCA_001933395.1,Phyra_EU1CC1033
GCA_001933405.1,Phyra_EU1CC1048
GCA_001933335.1,Phyra_EU1CC12475
GCA_001933325.1,Phyra_EU1CC14654
GCA_001933415.1,Phyra_EU1CC2168
GCA_001933455.1,Phyra_EU1CC2176
GCA_001933315.1,Phyra_EU1CC2184
GCA_001933465.1,Phyra_EU1CC2186
GCA_001933485.1,Phyra_EU1CC2187
GCA_000336535.2,Phyra_EU2_996_3
GCA_001278135.1,Phyra_EU2_SOD58_12
GCA_001278215.1,Phyra_EU2SOD136_11
GCA_001278165.1,Phyra_EU2SOD158_11
GCA_001278235.1,Phyra_EU2SOD169_11
GCA_001278155.1,Phyra_EU2SOD22_12
GCA_001278145.1,Phyra_EU2SOD69_12
GCA_001278225.1,Phyra_EU2SODL51
GCA_000149735.1,Phyra_Pr102
GCA_003956735.1,Phyra_Pr102-2018
GCA_000687305.2,Phyru_CBS109.892
GCA_002025925.1,Phyru_pd0101050015038
GCA_009732905.1,Phyru_SCRP249
GCA_009732945.1,Phyru_SCRP324
GCA_009733145.1,Phyru_SCRP333
GCF_000149755.1,Physo_P6497
GCA_012656105.1,Physy_BL57G
GCA_001314375.1,Phyta_toNZFS3642
GCA_001314925.1,Phyta_toNZFS3727
GCA_000439335.1,Phyxa
GCA_019155685.1,Phybo_SCRP23
GCA_019155715.1,Phyps_SCRP734
