Phyal_NZFS4037	1-1
Phyca_10300	1-2
Phyca_11-40	1-3
Phyca_12-420	1-4
Phyca_15-13	1-5
Phyca_15-7	1-6
Phyca_17-21	1-7
Phyca_2003-3	1-8
Phyca_4032	1-9
Phyca_4040	1-10
Phyca_62471	1-11
Phyca_NZFS3830	1-12
Phyca_P295	1-13
Phyca_P404	1-14
Phyca_P415	1-15
Phyca_P416	1-16
Phyca_P421	1-17
Phyca_PC13-15	1-18
Phyca_R36-14	1-19
Phyid_SCRP370	1-20
Phyid_SCRP371	1-21
Phyid_SCRP376	1-22
Phyin_KR_2_A2	1-23
Phyin_T30-4	1-24
Phyni_JM01	1-25
Phyni_race0	1-26
Phyni_race1	1-27
Phypa_CHvinca01	1-28
Phypa_CJ02B3	1-29
Phypa_CJ05E6	1-30
Phypa_IAC_01_95	1-31
Phypa_INRA-310	1-32
Phyca_CPV-219	2-1
Phyca_CPV-262	2-2
Phyca_CPV-267	2-3
Phyca_CPV-270	2-4
Phyca_CPV-277	2-5
Phyca_CPV-302	2-6
Phyca_JHAI1-7	2-7
Phyca_KPC-7	2-8
Phyca_LT1534-B	2-9
Phyca_MY-1	2-10
Phyco_7290	2-11
Phymu_NZFS3378	2-12
Phymu_NZFS3448	2-13
Phypl_AV1007	2-14
Phypl_LC9-1	3-1
Phypl_NZFS3000	3-2
Phyps_PR13-731	3-3
Phyps_SCRP734	3-4
Phyli_SHS3	4-1
Phyme_zdho120	4-2
Phypa_B4PPRK_Kuching_Sarawak	4-3
Phypa_var.palmivora_sbr112.9	4-4
Phyag_NZFS3770	5-1
Phyag_NZFS3772	5-2
Phych_P17-99	6-1
Phygo_P17-128	6-2
Phypi_CBS122922	6-3
Phyca_CBS114087	7-1
Phyci_DU054	7-2
Phyci_GKB4	7-3
Phyci_MP94-48	7-4
Phyci_NZFS3750	7-5
Phyci_WA94.26	7-6
Phyfr_A4	7-7
Phyfr_BC-1	7-8
Phyfr_BC-23	7-9
Phyfr_CBS209.46	7-10
Phyfr_CBS309.62	7-11
Phyfr_NOV-27	7-12
Phyfr_NOV-5	7-13
Phyfr_NOV-71	7-14
Phyfr_NOV-77	7-15
Phyfr_ONT-3	7-16
Phyfr_SCRP245	7-17
Phypi	7-18
Phyru_CBS109.892	7-19
Phyru_pd0101050015038	7-20
Phyru_SCRP249	7-21
Phyru_SCRP324	7-22
Phyru_SCRP333	7-23
Physo_P6497	7-24
Phyxa	7-25
Phycr_CBS418.71	8-1
Phyla_CBS168.42	8-2
Phyla_SMSTG	8-3
Phyla_MPF4	8-4
Phyla_MPF6	8-5
Phyla_SMST21	8-6
Phyra_CC1011	8-7
Phyra_CDFA1418886	8-8
Phyra_EU12275	8-9
Phyra_EU1CC1008	8-10
Phyra_EU1CC1033	8-11
Phyra_EU1CC1048	8-12
Phyra_EU1CC12475	8-13
Phyra_EU1CC14654	8-14
Phyra_EU1CC2168	8-15
Phyra_EU1CC2176	8-16
Phyra_EU1CC2184	8-17
Phyra_EU1CC2186	8-18
Phyra_EU1CC2187	8-19
Phyra_EU2_996_3	8-20
Phyra_EU2_SOD58_12	8-21
Phyra_EU2SOD136_11	8-22
Phyra_EU2SOD158_11	8-23
Phyra_EU2SOD169_11	8-24
Phyra_EU2SOD22_12	8-25
Phyra_EU2SOD69_12	8-26
Phyra_EU2SODL51	8-27
Phyra_Pr102	8-28
Phyra_Pr102-2018	8-29
Physy_BL57G	8-30
Phyke_CBS122049	10-1
Phyke_Chile1	10-2
Phyke_Chile2	10-3
Phyke_Chile4	10-4
Phyke_Chile6	10-5
Phyke_Chile7	10-6
Phyke_NZFS2646	10-7
Phyke_NZFS3630	10-8
Phyke_00238_432	10-9
Phyke_00629_1	10-10
Phyke_00844_4	10-11
Phybo_SCRP23	10-12
Phyta_toNZFS3642	A-1
Phyta_toNZFS3727	A-2
