AY894835.1	<c 0x191970>Phytophthora infestans</c>
AY898627.1	<c 0x191970>Phytophthora infestans</c>
AY898628.1	<c 0x191970>Phytophthora infestans</c>
BK011976.1	<c 0xffa500>Hyaloperonospora arabidopsidis</c>
BK011978.1	<c 0xffa500>Peronospora belbahrii</c>
BK011979.1	<c 0x191970>Phytophthora cactorum</c>
BK011980.1	<c 0xffd700>Phytophthora litchii</c>
BK011981.1	<c 0x006400>Phytophthora tropicalis</c>
BK011982.1	<c 0x0000ff>Phytophthora cinnamomi</c>
BK011983.1	<c 0x006400>Phytophthora colocasiae</c>
BK011984.1	<c 0xff1493>Phytophthora cryptogea</c>
BK011985.1	<c 0x0000ff>Phytophthora fragariae</c>
BK011986.1	<c 0xbc8f8f>Phytophthora kernoviae</c>
BK011987.1	<c 0xff1493>Phytophthora lateralis</c>
BK011988.1	<c 0x006400>Phytophthora multivora</c>
BK011990.1	<c 0x191970>Phytophthora parasitica</c>
BK011991.1	<c 0x00bfff>Phytophthora pinifolia</c>
BK011992.1	<c 0xff0000>Phytophthora pluvialis</c>
BK011993.1	<c 0xffa500>Phytophthora podocarpi</c>
BK012087.1	<c 0x006400>Phytophthora capsici</c>
BK012088.1	<c 0x006400>Phytophthora capsici</c>
BK012089.1	<c 0x0000ff>Phytophthora cinnamomi</c>
BK012090.1	<c 0x006400>Phytophthora colocasiae</c>
BK012091.1	<c 0xbc8f8f>Phytophthora kernoviae</c>
BK012092.1	<c 0xff1493>Phytophthora lateralis</c>
BK012093.1	<c 0x006400>Phytophthora multivora</c>
BK012094.1	<c 0x191970>Phytophthora parasitica</c>
BK012095.1	<c 0xff0000>Phytophthora pluvialis</c>
BK012096.1	<c 0x006400>Phytophthora sp. subnubulis</c>
BK012097.1	<c 0xffa500>Phytophthora podocarpi</c>
BK012098.1	<c 0xda70d6>Plasmopara halstedii</c>
BK014412.1	<c 0x00ced1>Phytophthora quercina</c>
BK014413.1	<c 0x0000ff>Phytophthora rubi</c>
BK014414.1	<c 0x00ced1>Phytophthora tubulina</c>
BK014415.1	<c 0x00ced1>Phytophthora versiformis</c>
BK059191.1	<c 0xffd700>Phytophthora megakarya</c>
BK059192.1	<c 0x006400>Phytophthora plurivora</c>
BK059193.1	<c 0x191970>Phytophthora aleatoria</c>
BK059194.1	<c 0x0000ff>Phytophthora x alni</c>
BK059195.1	<c 0x0000ff>Phytophthora cambivora</c>
BK059196.1	<c 0xd8bfd8>Phytopythium vexans</c>
CM022726.1	<c 0x00bfff>Phytophthora chlamydospora</c>
CM022727.1	<c 0xff0000>Phytophthora pseudosyringae</c>
CM022728.1	<c 0x00bfff>Phytophthora gonapodyides</c>
EU427470.1	<c 0xff1493>Phytophthora ramorum</c>
KT893455.1	<c 0xffa500>Peronospora tabacina</c>
MH142315.1	<c 0xffa500>Peronospora effusa</c>
MN883601.1	<c 0x00ff00>Phytophthora agathidicida</c>
MN883602.1	<c 0x00ff00>Phytophthora castaneae</c>
MN883603.1	<c 0x00ff00>Phytophthora cocois</c>
MN883604.1	<c 0x00ff00>Phytophthora heveae</c>
MN883605.1	<c 0x00ff00>Phytophthora novae-guineae</c>
MN883606.1	<c 0x2f4f4f>Phytophthora captiosa</c>
MN883607.1	<c 0x00bfff>Phytophthora chlamydospora</c>
MN883608.1	<c 0x2f4f4f>Phytophthora fallax</c>
MN883609.1	<c 0xffd700>Phytophthora palmivora</c>
MT032126.1	<c 0x00ff00>Phytophthora agathidicida</c>
MT032127.1	<c 0x00ff00>Phytophthora cocois</c>
MT032128.1	<c 0xffd700>Phytophthora palmivora</c>
MW648547.1	<c 0xff00ff>Nothophytophthora sp.</c>
NC_002387.1	<c 0x191970>Phytophthora infestans</c>
NC_009384.1	<c 0xff1493>Phytophthora ramorum</c>
NC_009385.1	<c 0x0000ff>Phytophthora sojae</c>
NC_014280.1	<c 0x1e90ff>Pythium ultimum</c>
NC_015606.1	<c 0x191970>Phytophthora mirabilis</c>
NC_015616.1	<c 0x191970>Phytophthora phaseoli</c>
NC_015619.1	<c 0x191970>Phytophthora andina</c>
NC_015622.1	<c 0x191970>Phytophthora ipomoeae</c>
NC_029397.1	<c 0x2f4f4f>Phytophthora polonica</c>
NC_040179.1	<c 0xda70d6>Bremia lactucae</c>
NC_042478.1	<c 0xffa500>Pseudoperonospora humuli</c>
NC_045089.1	<c 0xff1493>Phytophthora sansomeana</c>
