Accession n k30_s2000 k25_s2000 k21_s2000 k20_s2000 k19_s2000 k10_s2000 k21_s4000 k21_s1000 k19_s500
GCA_000149735.1 67486818 21276 21034 20569 20649 20684 246 10332 41476 83230
GCA_000318465.2 61013929 29260 29110 29069 28601 28974 245 14564 57821 115683
GCA_000333055.2 46655703 22030 21661 21612 21107 21593 245 10844 42916 86044
GCA_000333075.3 43050979 20883 20987 20447 20500 20612 245 10324 41045 82353
GCA_000333095.2 43528076 21099 21237 20704 20712 20773 246 10451 41499 83246
GCA_000333115.2 43469012 21078 21184 20653 20705 20759 245 10414 41435 83096
GCA_000336535.2 48308320 23138 22809 22676 22744 22712 245 11364 45545 91089
GCA_000338795.2 49640949 23337 22969 22875 22332 22748 245 11482 45384 90995
GCA_000338815.2 47555355 22558 22236 22155 21760 22207 246 11117 44065 88300
GCA_000340395.2 39354211 18986 18876 18731 19048 18813 245 9382 37654 75503
GCA_000439335.1 239008219 76079 71047 66726 66059 64302 460 33504 133197 267732
GCA_000443045.1 233534499 57258 54009 51204 50319 49646 472 25735 102193 204972
GCA_000448265.2 39977157 18151 18277 17701 17859 17897 247 8911 35550 71550
GCA_000468175.2 64646683 24615 24107 24017 23739 23610 272 12041 47702 95465
GCA_000500205.2 53108570 23755 23241 23039 22482 22879 248 11575 45782 91749
GCA_000500225.2 95817914 31237 29909 28968 28711 28168 306 14526 57779 115408
GCA_000509465.1 48679260 23032 23126 22989 22900 22886 245 11434 46182 92025
GCA_000509485.1 48045558 22808 22874 22673 22656 22632 245 11272 45586 90943
GCA_000509505.1 48410320 22986 23208 22775 22691 22834 245 11379 45701 91308
GCA_000509525.1 48316528 23080 22966 22730 22757 22772 245 11310 45633 91282
GCA_000686205.4 76932016 31925 31276 30466 30370 30130 245 15237 60764 121898
GCA_000687305.2 79961817 31259 30551 30211 29647 29337 245 15115 59935 120338
GCA_000751395.2 59596164 27569 26896 27096 26549 26688 245 13518 54144 107946
GCA_000785725.3 37171947 17842 18016 17481 17609 17654 245 8797 35087 70618
GCA_000785735.3 37049235 17797 17961 17397 17569 17631 245 8761 34936 70351
GCA_001278135.1 42499830 20001 19815 19666 19731 19628 245 9817 39537 79192
GCA_001278145.1 42277159 19955 19755 19549 19756 19655 245 9768 39343 78971
GCA_001278155.1 42259081 19953 19749 19632 19700 19656 245 9808 39373 78981
GCA_001278165.1 41867278 19987 19771 19670 19782 19723 245 9816 39464 79116
GCA_001278215.1 42346485 20087 19887 19731 19909 19824 245 9842 39699 79560
GCA_001278225.1 42368190 19951 19762 19611 19692 19667 245 9790 39384 78964
GCA_001278235.1 42491462 20043 19787 19651 19801 19713 245 9836 39466 79159
GCA_001314345.1 40564390 19354 19604 19266 19310 19355 245 9568 38536 77328
GCA_001314355.1 40835483 19508 19689 19356 19363 19488 245 9624 38694 77649
GCA_001314365.1 54365410 26181 26256 26004 26090 25861 245 13047 51769 103298
GCA_001314375.1 56277789 26612 26665 25999 25866 26080 246 13123 52345 104629
GCA_001314425.1 54293385 25399 25279 24874 24869 24958 245 12326 49878 99770
GCA_001314435.1 37809042 17804 17907 17745 17829 17727 245 8963 35527 71326
GCA_001314445.1 37705797 17784 17860 17724 17816 17710 245 8954 35475 71206
GCA_001314455.1 53396777 25091 25017 24582 24576 24715 246 12182 49279 98581
GCA_001314505.1 54647042 26043 25954 25949 25880 25712 245 13000 51783 103187
GCA_001314925.1 55592035 26181 26320 25739 25575 25766 245 13023 51749 103389
GCA_001482985.1 72309311 26372 25838 25413 25189 25237 245 12666 50842 101513
GCA_001483015.1 82633274 25065 24802 24580 24342 24513 271 12206 49216 98176
GCA_001707905.2 38682503 18028 18182 17556 17779 17763 245 8830 35323 71132
GCA_001712645.2 37466154 17667 17569 17459 17343 17265 245 8738 34766 69592
