Splits	Weights	GCA_000439335.1	GCA_000443045.1	GCA_000468175.2	GCA_000500205.2	GCA_000500225.2	GCA_000687305.2	GCA_001314345.1	GCA_001314375.1	GCA_001314425.1	GCA_002215365.1	GCA_002812785.1	GCA_007655245.1	GCA_008079305.1	GCA_008080845.1	GCA_009729435.1	GCA_011320135.1	GCA_011947325.1	GCA_011947335.1	GCA_011947345.1	GCA_011947355.1	GCA_012295415.1	GCA_012295475.1	GCA_012656075.1	GCA_012656105.1	GCA_014706105.1	GCA_014706115.1	GCA_014706125.1	GCA_014706135.1	GCA_014706145.1	GCA_016169955.1	GCA_016864655.1	GCA_016880985.1	GCA_018691715.1	GCA_018806915.1	GCA_018873745.1	GCA_019155715.1	GCA_020800215.1	GCA_023611945.1	GCA_024211575.1	GCA_024679045.1	GCA_024679075.1	GCA_024679115.1	GCA_024679135.1	GCA_024679175.1	GCA_024679225.1	GCA_024679275.1	GCA_024679295.1	GCA_025722995.1	GCA_030027945.1	GCA_030267725.1	GCA_030267785.1	GCA_030324255.1	GCA_030463285.1	GCA_031305395.1	GCA_032158285.1	GCA_032432875.1	GCA_033557915.1	GCA_033557925.1	GCA_033557995.1	GCA_033558005.1	GCA_033558025.1	GCF_000142945.1	GCF_000149755.1	GCF_000247585.1	GCA_022750515.1	GCA_008974285.1	GCA_014858625.1	GCA_018394375.1	GCA_001314365.1
1	0.016019707337901506	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.005020122810950835	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.009412434056475141	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
4	0.0019240561814601368	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
5	0.0012080033753954604	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
6	0.009827816644192675	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7	0.01355070809659479	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8	0.0075327514556085455	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9	0.003795315623158242	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
10	0.001040042028514017	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
