Splits	Weights	GCA_001314345.1	GCA_002247145.1	GCA_012932265.1	GCA_012552325.1	GCA_000687305.2	GCA_001314435.1	GCA_001314365.1	GCA_000443045.1	GCA_012295475.1	GCA_000509465.1	GCA_016865095.1	GCA_002215365.1	GCA_000149735.1	GCA_000686205.4	GCA_003287315.1	GCA_000468175.2	GCA_012295425.1	GCA_002288995.1	GCA_012656105.1	GCF_000149755.1	GCA_018873745.1	GCA_000751395.2	GCA_012295415.1	GCA_000448265.2	GCA_002812785.1	GCA_000333055.2	GCA_004137865.1	GCA_001482985.1	GCA_001314425.1	GCA_000439335.1	GCA_001314925.1	GCA_000500225.2	GCA_019155685.1
1	0.03711336430045427	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	8.998800310938122E-4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.0018364420642801545	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
4	0.03070831307773712	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	0.09922096424328382	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6	0.00614021672581716	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7	0.015081330425950548	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
8	0.002112886078230019	1	1	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0
9	0.04008751604264111	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
10	0.01859979420373462	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0.06355601795350704	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12	0.03198109785154132	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
13	0.05887602766636484	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
14	1.4831965809330815E-4	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0
15	0.0017332319880581982	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	0	1	0
16	5.225135309223768E-4	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0
17	0.0013617791376224675	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0
18	0.07254385706711065	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
19	0.05207620470644275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0
20	0.0021358782030954314	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0
21	0.0790760594826217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
22	8.252661526426592E-4	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1
23	0.002084409328448854	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1
24	0.09664418811154273	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25	8.433875692992571E-4	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1
26	0.0019343630705676174	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1
27	0.08978408076627455	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
28	0.0017967018127052043	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1
29	9.058345061304652E-4	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1
30	0.08536527227464513	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
31	6.428775483721799E-4	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
32	0.00521272890151971	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
33	0.0037550079452203294	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
34	0.0027428291799814503	1	1	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1
35	0.0042039543225294365	1	1	1	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	1	0	1
36	0.03515701684138596	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
37	0.04033016860898955	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
38	0.004560738351418702	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1
39	1.7966118962305889E-4	1	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	0	1
40	2.326169331076152E-4	1	1	1	1	0	1	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1
41	0.0034024606640675513	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1
42	0.039224474670488625	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
43	0.08983444750404108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
44	0.0020614028387525036	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1
45	7.069292849498851E-4	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	1
46	0.05235729664656021	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
47	0.0036683859451389906	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1
48	0.04762331629577115	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1
49	0.0030734236146508754	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1
50	0.032767113200406865	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
51	0.0022131894450931624	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
52	0.001048218158016793	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1
53	0.03865657257775851	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
54	0.07189757949321583	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
55	0.017629673044939023	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1
56	8.078335843306027E-4	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1
57	0.0078584084636431	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
58	0.0110445233075164	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
59	0.002946994834462126	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
60	0.04581634513469189	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
61	4.956052550751447E-4	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1
62	0.0052283939391929105	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1
63	0.009329818975512069	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
64	1.1741130799186894E-4	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1
65	0.016597448435053657	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
66	0.019989905529490544	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
67	0.0014689148022631888	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1
68	6.511706338973048E-4	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1
69	0.007552408793999566	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
70	3.029976823041017E-4	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
71	0.013627307413035902	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
